,Current,Duration
0,0.0,55
1,1.0474383301707781,3
2,2.0948766603415563,6
3,1.0474383301707781,5
4,2.0948766603415563,3
5,3.142314990512334,1
6,2.0948766603415563,3
7,1.0474383301707781,4
8,2.0948766603415563,3
9,3.142314990512334,13
10,2.0948766603415563,11
11,3.142314990512334,2
12,2.0948766603415563,4
13,2.0948766603415563,4
14,3.142314990512334,21
15,2.0948766603415563,4
16,1.0474383301707781,7
17,0.0,40
18,1.0474383301707781,2
19,2.0948766603415563,8
20,1.0474383301707781,8
21,0.0,38
22,1.0474383301707781,6
23,2.0948766603415563,2
24,3.142314990512334,2
25,2.0948766603415563,5
26,1.0474383301707781,38
27,0.0,1
28,1.0474383301707781,29
29,0.0,74
30,1.0474383301707781,21
31,2.0948766603415563,24
32,3.142314990512334,2
33,2.0948766603415563,6
34,1.0474383301707781,6
35,2.0948766603415563,3
36,1.0474383301707781,3
37,1.0474383301707781,16
38,0.0,27
39,1.0474383301707781,1
40,2.0948766603415563,1
41,2.0948766603415563,3
42,3.142314990512334,1
43,2.0948766603415563,6
44,1.0474383301707781,14
45,2.0948766603415563,2
46,3.142314990512334,2
47,2.0948766603415563,3
48,3.142314990512334,2
49,2.0948766603415563,3
50,1.0474383301707781,12
51,0.0,36
52,1.0474383301707781,13
53,0.0,4
54,1.0474383301707781,4
55,0.0,21
56,1.0474383301707781,2
57,2.0948766603415563,2
58,3.142314990512334,3
59,2.0948766603415563,6
60,1.0474383301707781,10
61,2.0948766603415563,6
62,1.0474383301707781,7
63,2.0948766603415563,5
64,1.0474383301707781,15
65,2.0948766603415563,4
66,1.0474383301707781,29
67,0.0,13
68,1.0474383301707781,84
69,0.0,59
70,1.0474383301707781,1
71,2.0948766603415563,3
72,3.142314990512334,6
73,2.0948766603415563,3
74,1.0474383301707781,8
75,0.0,43
76,1.0474383301707781,2
77,2.0948766603415563,2
78,3.142314990512334,4
79,2.0948766603415563,4
80,1.0474383301707781,11
81,2.0948766603415563,2
82,3.142314990512334,8
83,2.0948766603415563,4
84,1.0474383301707781,8
85,0.0,7
86,1.0474383301707781,1
87,0.0,1
88,1.0474383301707781,1
89,2.0948766603415563,2
90,3.142314990512334,3
91,2.0948766603415563,5
92,1.0474383301707781,9
93,0.0,20
94,1.0474383301707781,55
95,0.0,6
96,1.0474383301707781,144
97,0.0,2
98,1.0474383301707781,1
99,1.0474383301707781,5
100,0.0,51
101,3.142314990512334,2
102,2.0948766603415563,12
103,3.142314990512334,6
104,2.0948766603415563,6
105,1.0474383301707781,8
106,0.0,11
107,1.0474383301707781,7
108,3.142314990512334,2
109,2.0948766603415563,5
110,1.0474383301707781,7
111,0.0,5
112,1.0474383301707781,2
113,2.0948766603415563,2
114,3.142314990512334,4
115,2.0948766603415563,4
116,1.0474383301707781,7
117,0.0,34
118,1.0474383301707781,2
119,2.0948766603415563,3
120,3.142314990512334,8
121,3.142314990512334,1
122,2.0948766603415563,3
123,1.0474383301707781,7
124,0.0,6
125,1.0474383301707781,2
126,2.0948766603415563,3
127,3.142314990512334,1
128,2.0948766603415563,2
129,3.142314990512334,3
130,2.0948766603415563,4
131,1.0474383301707781,7
132,0.0,15
133,1.0474383301707781,10
134,2.0948766603415563,9
135,3.142314990512334,2
136,2.0948766603415563,1
137,3.142314990512334,5
138,2.0948766603415563,1
139,3.142314990512334,4
140,2.0948766603415563,4
141,1.0474383301707781,7
142,0.0,28
143,1.0474383301707781,3
144,2.0948766603415563,4
145,3.142314990512334,3
146,4.189753320683113,17
147,3.142314990512334,2
148,2.0948766603415563,5
149,3.142314990512334,1
150,2.0948766603415563,5
151,3.142314990512334,3
152,4.189753320683113,1
153,3.142314990512334,3
154,2.0948766603415563,4
155,1.0474383301707781,8
